#{"t_start": 1626358340.285623, "env_id": "CartPole-v0"}
r,l,t
12.0,12,1.487583
19.0,19,1.489222
10.0,10,1.490534
19.0,19,1.491888
9.0,9,1.492579
36.0,36,1.495089
13.0,13,1.496
39.0,39,1.498635
30.0,30,1.501243
22.0,22,1.503985
42.0,42,1.507659
43.0,43,1.510574
40.0,40,1.513262
59.0,59,1.519073
25.0,25,1.520952
72.0,72,1.526145
21.0,21,1.527633
47.0,47,1.531053
23.0,23,1.533272
20.0,20,1.535062
24.0,24,1.536808
66.0,66,1.541409
12.0,12,1.542293
13.0,13,1.543215
27.0,27,1.545016
42.0,42,1.547884
10.0,10,1.548982
41.0,41,1.552819
16.0,16,1.554161
20.0,20,1.555561
25.0,25,1.557284
28.0,28,1.559333
17.0,17,1.560494
25.0,25,1.562364
27.0,27,1.564437
11.0,11,1.565631
29.0,29,1.568661
23.0,23,1.570588
22.0,22,1.572187
28.0,28,1.574196
29.0,29,1.57614
28.0,28,1.578176
59.0,59,1.582384
11.0,11,1.583742
21.0,21,1.585909
48.0,48,1.590129
32.0,32,1.592428
51.0,51,1.596097
29.0,29,1.59821
15.0,15,1.599306
14.0,14,1.600841
26.0,26,1.602875
33.0,33,1.605297
31.0,31,1.607435
27.0,27,1.60936
26.0,26,1.611262
49.0,49,1.614634
13.0,13,1.615559
53.0,53,1.61988
11.0,11,1.620789
15.0,15,1.621869
14.0,14,1.622841
21.0,21,1.624343
24.0,24,1.626091
60.0,60,1.630203
25.0,25,1.632096
20.0,20,1.63414
24.0,24,1.636141
27.0,27,1.638142
10.0,10,1.638899
65.0,65,1.643405
13.0,13,1.644521
13.0,13,1.64547
22.0,22,1.647171
45.0,45,1.651434
25.0,25,1.653347
38.0,38,1.656008
14.0,14,1.657011
17.0,17,1.658377
34.0,34,1.660629
26.0,26,1.662457
13.0,13,1.663529
21.0,21,1.665144
14.0,14,1.666703
17.0,17,1.668621
21.0,21,1.67031
17.0,17,1.671549
28.0,28,1.673438
18.0,18,1.674774
17.0,17,1.676043
46.0,46,1.679193
68.0,68,1.684987
23.0,23,1.686751
23.0,23,1.688468
46.0,46,1.691805
18.0,18,1.693176
15.0,15,1.69442
56.0,56,1.698429
35.0,35,1.701731
76.0,76,1.707058
22.0,22,1.7087
46.0,46,1.712096
17.0,17,1.713631
16.0,16,1.714977
18.0,18,1.716462
15.0,15,1.718204
11.0,11,1.719209
19.0,19,1.720591
30.0,30,1.722753
26.0,26,1.724669
21.0,21,1.726259
11.0,11,1.727245
24.0,24,1.72886
27.0,27,1.730895
35.0,35,1.734381
32.0,32,1.737065
13.0,13,1.738081
17.0,17,1.739295
35.0,35,1.74161
12.0,12,1.742516
46.0,46,1.745612
21.0,21,1.747222
27.0,27,1.750004
58.0,58,1.754694
22.0,22,1.756301
59.0,59,1.760395
35.0,35,1.762852
28.0,28,1.76499
11.0,11,1.766206
31.0,31,1.769161
55.0,55,1.773161
38.0,38,1.775897
17.0,17,1.777129
22.0,22,1.778833
27.0,27,1.780964
19.0,19,1.782574
23.0,23,1.78519
15.0,15,1.78638
15.0,15,1.787592
11.0,11,1.788448
25.0,25,1.790379
33.0,33,1.792787
51.0,51,1.79631
11.0,11,1.797082
19.0,19,1.79851
36.0,36,1.80244
20.0,20,1.803963
71.0,71,1.808931
10.0,10,1.809772
36.0,36,1.812263
33.0,33,1.814673
26.0,26,1.817444
19.0,19,1.81947
13.0,13,1.820529
18.0,18,1.821774
16.0,16,1.822971
44.0,44,1.826037
17.0,17,1.827289
53.0,53,1.831015
27.0,27,1.834633
29.0,29,1.836938
45.0,45,1.840207
28.0,28,1.842309
37.0,37,1.844947
40.0,40,1.847786
50.0,50,1.852962
18.0,18,1.854544
13.0,13,1.855445
17.0,17,1.856642
27.0,27,1.858673
23.0,23,1.860224
12.0,12,1.861152
35.0,35,1.863558
20.0,20,1.865009
12.0,12,1.866682
51.0,51,1.871024
34.0,34,1.873361
11.0,11,1.874274
36.0,36,1.876719
34.0,34,1.879081
12.0,12,1.87999
43.0,43,1.883235
41.0,41,1.886931
57.0,57,1.89188
63.0,63,1.896232
22.0,22,1.898001
44.0,44,1.903129
13.0,13,1.904153
11.0,11,1.90496
33.0,33,1.90737
26.0,26,1.909201
34.0,34,1.911579
25.0,25,1.913358
31.0,31,1.915696
13.0,13,1.917071
22.0,22,1.919724
29.0,29,1.921915
25.0,25,1.923723
27.0,27,1.925742
19.0,19,1.927135
22.0,22,1.928695
17.0,17,1.930025
30.0,30,1.932285
15.0,15,1.933503
17.0,17,1.934812
23.0,23,1.936606
10.0,10,1.937421
21.0,21,1.938918
53.0,53,1.942552
75.0,75,1.947682
21.0,21,1.949452
